2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [194, 315, 208, 325] (conf: 0.52)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.5, 325.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.0, 565.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [170, 318, 185, 332] (conf: 0.83)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [268, 532, 337, 599] (conf: 0.67)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [194, 315, 208, 325] (conf: 0.53)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (177.5, 325.0)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.5, 565.5)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (201.0, 320.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (177.5, 325.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.5, 565.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (201.0, 320.0)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [171, 319, 185, 332] (conf: 0.84)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [268, 532, 336, 599] (conf: 0.67)
2026-01-07 21:02:59 | INFO | detector:detect_vehicles:86 |   - car at [194, 315, 208, 325] (conf: 0.51)
2026-01-07 21:02:59 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 1: car at (178.0, 325.5)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 2: car at (302.0, 565.5)
2026-01-07 21:02:59 | INFO | tracker:update:145 |   - Track 3: car at (201.0, 320.0)
2026-01-07 21:02:59 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 1: car at position (178.0, 325.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.0, 565.5)
2026-01-07 21:02:59 | INFO | counter:update_counts:158 | Processing track 3: car at position (201.0, 320.0)
2026-01-07 21:03:00 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:03:00 | INFO | detector:detect_vehicles:86 |   - car at [171, 319, 186, 332] (conf: 0.85)
2026-01-07 21:03:00 | INFO | detector:detect_vehicles:86 |   - car at [268, 532, 336, 599] (conf: 0.67)
2026-01-07 21:03:00 | INFO | detector:detect_vehicles:86 |   - car at [194, 315, 208, 325] (conf: 0.54)
2026-01-07 21:03:00 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:03:00 | INFO | tracker:update:145 |   - Track 1: car at (178.5, 325.5)
2026-01-07 21:03:00 | INFO | tracker:update:145 |   - Track 2: car at (302.0, 565.5)
2026-01-07 21:03:00 | INFO | tracker:update:145 |   - Track 3: car at (201.0, 320.0)
2026-01-07 21:03:00 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
2026-01-07 21:03:00 | INFO | counter:update_counts:158 | Processing track 1: car at position (178.5, 325.5)
2026-01-07 21:03:00 | INFO | counter:update_counts:158 | Processing track 2: car at position (302.0, 565.5)
2026-01-07 21:03:00 | INFO | counter:update_counts:158 | Processing track 3: car at position (201.0, 320.0)
2026-01-07 21:03:00 | INFO | detector:detect_vehicles:84 | Detected 3 vehicles in frame
2026-01-07 21:03:00 | INFO | detector:detect_vehicles:86 |   - car at [170, 319, 186, 332] (conf: 0.85)
2026-01-07 21:03:00 | INFO | detector:detect_vehicles:86 |   - car at [268, 532, 336, 599] (conf: 0.67)
2026-01-07 21:03:00 | INFO | detector:detect_vehicles:86 |   - car at [194, 315, 208, 325] (conf: 0.53)
2026-01-07 21:03:00 | INFO | tracker:update:143 | Tracking 3 objects
2026-01-07 21:03:00 | INFO | tracker:update:145 |   - Track 1: car at (178.0, 325.5)
2026-01-07 21:03:00 | INFO | tracker:update:145 |   - Track 2: car at (302.0, 565.5)
2026-01-07 21:03:00 | INFO | tracker:update:145 |   - Track 3: car at (201.0, 320.0)
2026-01-07 21:03:00 | INFO | counter:update_counts:151 | Counter received 3 tracked objects
